Status,Date,Description,Debit,Credit
Dining,10/14/21,SIFT BAKE SHOP MYSTIC CT,27.53,
Dining,10/14/21,STARBUCKS STORE 07654 MYSTIC CT,10.41,
Ent,10/15/21,Prime Video*273P05YA1 888-802-3080 WA,3.18,
Ent,10/15/21,Prime Video*276Y61I00 888-802-3080 WA,3.18,
Ent,10/15/21,Prime Video*2778B5Y31 888-802-3080 WA,3.18,
Stuff,10/15/21,AMZN Mktp US*2704K4IU0 Amzn.com/bill WA,32.75,
Food,10/15/21,STOP & SHOP 0624 MADISON CT,17.06,
Food,10/15/21,STOP & SHOP 0624 MADISON CT,97,
Ent,10/16/21,Adobe Inc 8008336687 CA Digital Account Number XXXXXXXXXXXX9330,10.62,
Gas,10/16/21,CLINTON VALERO CLINTON CT,35.41,
Dining,10/17/21,STARBUCKS STORE 07701 MADISON CT,4.83,
Ent,10/17/21,Amazon.com*270883KG2 Amzn.com/bill WA,17.82,
Food,10/17/21,STOP & SHOP 0624 MADISON CT,144,
Dining,11/16/21,JIA MEI ASIAN KITCHEN MADISON CT,37.37,
Food,11/18/21,STOP & SHOP 0624 MADISON CT,22.03,
Dining,11/19/21,Subway 25295 Madison CT,9.97,
Stuff,11/19/21,WAL-MART #3544 GUILFORD CT,12.23,
Food,11/19/21,BIG Y 55 GUILFORD GUILFORD CT,30.03,
Car,11/19/21,SP * AMMONYC DANBURY CT,78.6,
Ent,11/20/21,SPOTIFY 8777781161 NY Digital Account Number XXXXXXXXXXXX6756,17.01,
Stuff,11/20/21,WAL-MART #2898 OLD SAYBROOK CT,24.61,
Dining,11/20/21,STARBUCKS STORE 07986 OLD SAYBROOK CT,5.9,
Stuff,11/20/21,AMZN Mktp US*462JI35Q3 Amzn.com/bill WA,35.04,
Food,11/20/21,STOP & SHOP 0624 MADISON CT,186.74,
Gas,11/20/21,CLINTON VALERO CLINTON CT,57.52,
Ent,11/21/21,APPLE.COM/BILL 866-712-7753 CA,3.02,
Stuff,11/23/21,AMZN Mktp US*1O15Y03X3 Amzn.com/bill WA,42.53,
Stuff,11/23/21,AMZN Digital*1R67U78A3 888-802-3080 WA,2.12,
Stuff,11/23/21,AMZN Digital*SH6P174Z3 888-802-3080 WA,10.62,
Stuff,11/23/21,AMZN Mktp US*O86ST18I3 Amzn.com/bill WA,14.84,
Food,11/23/21,STOP & SHOP 0624 MADISON CT,33.65,
Stuff,11/24/21,AMZN Mktp US*NW5LU4TA3 Amzn.com/bill WA,21.26,
Stuff,11/24/21,AMZN Mktp US*CY1CZ5MB3 Amzn.com/bill WA,12.68,
Stuff,11/24/21,AMZN Mktp US*467ZW6I23 Amzn.com/bill WA,33.98,
Stuff,11/24/21,Amazon.com*5Z1DQ6VP3 Amzn.com/bill WA,56.67,
Dining,11/25/21,DUNKIN #342434 Q35 HIGGANUM CT,9.09,
Ent,11/26/21,A MEDIUM CORPORATION 4155085008 CA Digital Account Number XXXXXXXXXXXX8573,5,
Food,11/26/21,STOP & SHOP 0624 MADISON CT,20.8,
Food,11/26/21,STOP & SHOP 0624 MADISON CT,30.42,
Food,11/27/21,BIG Y #110 CLINTON CT,31.87,
Clothing,11/27/21,MARSHALLS #782 OLD SAYBROOK CT,88.23,
Dining,11/27/21,SQ *ESSEX COFFEE AND T Essex CT,9.51,
Food,11/28/21,STOP & SHOP 0652 CLINTON CT,53.91,
Stuff,11/29/21,USPS PO 0838420443 MADISON CT,37.6,
Ent,11/30/21,Prime Video*M42J37F53 888-802-3080 WA,6.37,
Food,11/30/21,STOP & SHOP 0624 MADISON CT,21.98,
Stuff,11/30/21,AMZN Mktp US*X18ED4DW3 Amzn.com/bill WA,26.58,
Dining,12/1/21,GREAT WALL CHINESE RES NORTH MADISON CT,39.77,
Food,12/2/21,STOP & SHOP 0652 CLINTON CT,107.21,
Gas,12/2/21,STP&SHPFUEL0652 CLINTON CT,32.45,
Ent,12/3/21,APPLE.COM/BILL 866-712-7753 CA,17.01,
Stuff,12/3/21,WAL-MART #3544 GUILFORD CT,82.63,
Dining,12/3/21,TST* Cilantro Specialt Guilford CT,7.78,
Food,12/4/21,STOP & SHOP 0652 CLINTON CT,140.35,
Car,12/4/21,EXECUTIVE HONDA 2036786321 CT,500,
Food,12/5/21,STOP & SHOP 0624 MADISON CT,21.29,
Stuff,12/7/21,THE PURPLE BEAR GUILFORD CT,24.45,
Food,12/7/21,WAL-MART #3544 GUILFORD CT,38.22,
Stuff,12/7/21,TST* Cilantro Specialt Guilford CT,67.95,
Dining,12/8/21,JIA MEI ASIAN KITCHEN MADISON CT,39.04,
Clothing,12/9/21,TJMAXX #0066 CLINTON CT,321.42,
Food,12/9/21,STOP & SHOP 0652 CLINTON CT,28.8,
Stuff,12/10/21,WAL-MART #2898 OLD SAYBROOK CT,3.36,
Clothing,12/10/21,MARSHALLS #782 OLD SAYBROOK CT,23.35,
Dining,12/10/21,STARBUCKS STORE 07986 OLD SAYBROOK CT,10.41,
Clothing,12/10/21,KAYS HALLMARK OLD SAYBROOK CT,12.75,
Dining,12/10/21,PIZZERIA PORTOFINO MADISON CT,37.96,
Clothing,12/11/21,REI.COM 800-426-4840 800-426-4840 WA Digital Account Number XXXXXXXXXXXX2368,126.56,
Food,12/11/21,STOP & SHOP 0624 MADISON CT,233.57,
Ent,12/12/21,NETFLIX.COM NETFLIX.COM CA,19.13,
Stuff,12/12/21,AMZN Mktp US*G52YU65S3 Amzn.com/bill WA,150.44,
Gas,12/12/21,CLINTON VALERO CLINTON CT,59.26,
Gas,12/13/21,CLINTON VALERO CLINTON CT,36.93,
Food,12/16/21,STOP & SHOP 0624 MADISON CT,77.69,
Food,12/17/21,WAL-MART #3544 GUILFORD CT,184.22,
Ent,12/17/21,Amazon.com*D29RZ4Y03 Amzn.com/bill WA,40.39,
Food,12/18/21,BIG Y #58 OLD SAYBROOK CT,37.62,
Clothing,12/18/21,KOHL'S #1507 OLD SAYBROOK CT,64.46,
Food,12/18/21,STOP & SHOP 0624 MADISON CT,3.23,
Food,12/18/21,SQ *SAVVY TEA GOURMET Madison CT,24,
Food,12/18/21,WAL-MART #3544 GUILFORD CT,36.05,
Stuff,12/18/21,STOP & SHOP 0652 CLINTON CT,174.69,
Gas,12/18/21,STP&SHPFUEL0652 CLINTON CT,29.31,
Food,12/18/21,MADISON CHEESE MADISON CT,16.16,
Clothing,12/19/21,SAKS O5 CLINTON 773 CLINTON CT,101,
Ent,12/20/21,SPOTIFY 8777781161 NY Digital Account Number XXXXXXXXXXXX6756,17.01,
Food,12/20/21,STOP & SHOP 0624 MADISON CT,15.94,
Ent,12/20/21,PPL*BEACHBODY FITNESS 800-979-5091 CA,105.29,
Ent,12/21/21,APPLE.COM/BILL 866-712-7753 CA,3.02,
Dining,12/21/21,JIA MEI ASIAN KITCHEN MADISON CT,53.89,
Ent,12/22/21,NYTimes*NYTimes 8006984637 NY,24.62,
Stuff,12/22/21,UNICEF USA 8003675437 NY Digital Account Number XXXXXXXXXXXX2368,40.1,
Food,12/22/21,STOP & SHOP 0624 MADISON CT,98.62,
Ent,12/23/21,TMF*MOTLEY.FOOL.COM 8556953665 VA,158.46,
Food,12/24/21,BIG Y 55 GUILFORD GUILFORD CT,22.17,
Clothing,12/24/21,TJMAXX #0066 CLINTON CT,107.37,
Food,12/24/21,SPIRITS OF MADISON MADISON CT,53.16,
Food,12/24/21,STOP & SHOP 0624 MADISON CT,84.15,
Ent,12/26/21,A MEDIUM CORPORATION 4155085008 CA Digital Account Number XXXXXXXXXXXX8573,5,
Dining,12/26/21,STARBUCKS STORE 07986 OLD SAYBROOK CT,5.58,
Food,12/26/21,STOP & SHOP 0624 MADISON CT,65.12,
Ent,12/27/21,Amazon.com*ZN1FY7KM3 Amzn.com/bill WA,13.81,
Dining,12/27/21,Subway 25295 Madison CT,10.08,
Dining,12/28/21,DUNKIN #330433 Q35 DURHAM CT,2.57,
Food,12/29/21,ROBERTS FOOD CENTER MADISON CT,15.72,
Dining,12/29/21,PIZZERIA PORTOFINO MADISON CT,23.08,
Food,12/30/21,STOP & SHOP 0652 CLINTON CT,116.85,
Gas,12/30/21,STP&SHPFUEL0652 CLINTON CT,28.81,
Ent,12/31/21,Prime Video*NC2LK9HS3 888-802-3080 WA,6.37,
Stuff,12/31/21,WAL-MART #3544 GUILFORD CT,70.08,
Dining,12/31/21,DUNKIN #330433 Q35 DURHAM CT,6.96,
Car,12/31/21,EXECUTIVE HONDA WALLINGFORD CT,1571.24,
Food,1/2/22,STOP & SHOP 0624 MADISON CT,130.5,
Ent,1/3/22,APPLE.COM/BILL 866-712-7753 CA,17.01,
Stuff,1/3/22,SWEETWATER SOUND 800-222-4700 IN,148.87,
Food,1/3/22,CUMBERLAND FARMS 4766 THOMASTON CT,1.06,
Food,1/3/22,CUMBERLAND FARMS 4766 THOMASTON CT,1.06,
Food,1/4/22,CVS/PHARMACY #00388 MADISON CT,52,
Food,1/4/22,SQ *SAVVY TEA GOURMET Madison CT,12.5,
Gas,1/4/22,CLINTON VALERO CLINTON CT,48.11,
DIY,1/5/22,AMMONYC DANBURY CT,142.51,
Dining,1/5/22,JIA MEI ASIAN KITCHEN MADISON CT,53.89,
Gas,1/5/22,CLINTON VALERO CLINTON CT,32.24,
Food,1/6/22,STOP & SHOP 0624 MADISON CT,104.25,
DIY,1/6/22,WWW.QUICKJACK.COM 805-9339970 CA,1754.78,
Dining,1/8/22,DUNKIN #344809 Q35 CENTERBROOK CT,7.12,
Food,1/8/22,STOP & SHOP 0624 MADISON CT,21.7,
Ent,1/9/22,Amazon.com*W20KC4IX3 Amzn.com/bill WA,64.2,
Stuff,1/9/22,AMZN Mktp US*3N0O83ZW3 Amzn.com/bill WA,13.08,
Food,1/9/22,STOP & SHOP 0624 MADISON CT,92.19,
Dining,1/9/22,HAVELI INDIAN RESTAURA MIDDLETOWN CT,65.22,
Stuff,1/10/22,"PROJECT N95, INC. 2028499858 VT",35.08,
Food,1/10/22,STOP & SHOP 0624 MADISON CT,44.93,
Ent,1/11/22,AMAZON.COM*J197U03M3 A AMZN.COM/BILL WA,53.39,
Ent,1/12/22,NETFLIX.COM NETFLIX.COM CA,19.13,
Dining,1/12/22,JIA MEI ASIAN KITCHEN MADISON CT,50.45,
Stuff,1/13/22,WAL-MART #3544 GUILFORD CT,224.3,
Food,1/13/22,STOP & SHOP 0624 MADISON CT,37.82,
Dining,1/14/22,Subway 25295 Madison CT,19.17,
Food,1/14/22,STOP & SHOP 0624 MADISON CT,27.97,
Dining,1/15/22,MCDONALD'S F1293 MIDDLETOWN CT,5.24,
Gas,1/15/22,EXXONMOBIL 47926100 DURHAM CT,34.86,
Stuff,1/15/22,O'REILLY AUTO PARTS 54 MIDDLETOWN CT,13.27,
Food,1/15/22,STOP & SHOP 0624 MADISON CT,150.55,
Dining,1/16/22,MCDONALD'S F1346 OLD SAYBROOK CT,4.7,
Stuff,1/16/22,WAL-MART #2898 OLD SAYBROOK CT,187.04,
Tim,1/17/22,AMERICAN0012325304454 8004337300 TXNAME: HAKE/MARY DEPART:01/30/2022 TPA TO DCA: AA: CLASS:C : STOP: O DCA TO BDL: MQ: CLASS:C : STOP: O,112.6,
Tim,1/17/22,AMERICAN0012325304453 8004337300 TXNAME: HAKE/PAUL DEPART:01/30/2022 TPA TO DCA: AA: CLASS:C : STOP: O DCA TO BDL: MQ: CLASS:C : STOP: O,112.6,
Stuff,1/18/22,AMZN Mktp US*U09YQ3153 Amzn.com/bill WA,53.16,
Ent,1/18/22,Amazon.com*GJ30Y0N03 Amzn.com/bill WA,9.56,
Dining,1/19/22,STOP & SHOP 0624 MADISON CT,1.94,
Dining,1/19/22,JIA MEI ASIAN KITCHEN MADISON CT,37.04,
Gas,1/19/22,STP&SHPFUEL0652 CLINTON CT,31.07,
Ent,1/20/22,SPOTIFY 8777781161 NY Digital Account Number XXXXXXXXXXXX6756,17.01,
Dining,1/20/22,Subway 25295 Madison CT,18.86,
Ent,1/21/22,APPLE.COM/BILL 866-712-7753 CA,3.02,
Clothing,1/21/22,REI #105 WEST HARTFORD WEST HARTFORD CT,11.59,
Dining,1/21/22,PIZZERIA PORTOFINO MADISON CT,35.43,
Food,1/22/22,STOP & SHOP 0624 MADISON CT,243.26,
Food,1/23/22,Store Guilford CT,18.34,
Food,1/23/22,THE MARKETPLACE AT GFC GUILFORD CT,9.66,
Stuff,1/23/22,WAL-MART #2898 OLD SAYBROOK CT,68.18,
Food,1/24/22,STOP & SHOP 0624 MADISON CT,13.59,
Ent,1/26/22,A MEDIUM CORPORATION 4155085008 CA Digital Account Number XXXXXXXXXXXX8573,5,
Ent,1/27/22,AMZN Digital*K65F02PN3 888-802-3080 WA,1.05,
Dining,1/27/22,KAMANA GUILFORD CT,39.56,
Tim,1/27/22,EXXONMOBIL 99880981 FISHKILL NY,7.96,
Tim,1/27/22,MCDONALD'S F2617 WINDSOR LOCKS CT,11.45,
Food,1/27/22,STOP & SHOP 0624 MADISON CT,10.78,
Tim,1/28/22,7-ELEVEN 40136 HARRISBURG PA,5.99,
Tim,1/28/22,MCDONALD'S F20917 WILSON NC,12.77,
Tim,1/28/22,7-ELEVEN 32970 HENRICO VA,12.81,
Tim,1/28/22,CIRCLE K # 45061 KINGSLAND GA,5.57,
Tim,1/28/22,ENMARKET # 884 HARDEEVILLE SC,7.44,
Tim,1/28/22,MR CHUBBYS WINGS JACKSONVILLE FL,67.32,
Tim,1/29/22,WM SUPERCENTER #4681 TAMPA FL,299.93,
Tim,1/29/22,TARGET 00010512 TAMPA FL,467.02,
Tim,1/29/22,CHEVRON 0381971 LAKE PANASOFF FL,1.92,
Tim,1/29/22,HARDEES 1502722 LK PANASOFFKE FL,2.45,
Tim,1/29/22,STARBUCKS STORE 10065 TAMPA FL,8.6,
Tim,1/29/22,HAMPTON INNS 904-7838277 FL PHONE NUMBER: 9047838277 FOLIO NUMBER: 373394 ARRIVE: 01/28/2022 DEPART:01/29/2022,191.82,
Tim,1/29/22,WAL-MART #4681 TAMPA FL,324.28,
Tim,1/29/22,MR & MRS CRAB TAMPA FL,64.68,
Tim,1/30/22,MCDONALD'S F7879 TAMPA FL,4.6,
Tim,1/30/22,PUBLIX #1722 TAMPA FL,29.02,
Tim,1/30/22,FIREHOUSE SUBS 0356 QS TAMPA FL,38.98,
Tim,1/30/22,TARGET 00010512 TAMPA FL,178.44,
Tim,1/30/22,MCW#223-GANDY TAMPA FL,10,
Tim,1/30/22,STARBUCKS STORE 10065 TAMPA FL,9.25,
Tim,1/30/22,WAL-MART #4681 TAMPA FL,16.24,
Tim,1/30/22,TPA SQUARE 1 F 6501414 TAMPA FL,25.61,
Tim,1/30/22,DOUBLETREE TAMPA TAMPA FL PHONE NUMBER: 8008967161 FOLIO NUMBER: 2326974 ARRIVE: 01/29/2022 DEPART:01/30/2022,187.9,
Ent,1/31/22,Prime Video*MU0FK2M83 888-802-3080 WA,6.37,
Clothing,1/31/22,REI.COM 800-426-4840 800-426-4840 WA,65.83,
Clothing,1/31/22,REI.COM 800-426-4840 800-426-4840 WA,127.57,
Tim,1/31/22,MEZEH - DCA ARLINTON VA,3.85,
Tim,1/31/22,BRADLEY AIRPORT LOT 1 WINDSOR LOCKS CT,80,
Food,1/31/22,STOP & SHOP 0652 CLINTON CT,63.71,
Gas,1/31/22,STP&SHPFUEL0652 CLINTON CT,30.25,
Stuff,2/1/22,REI.COM 800-426-4840 800-426-4840 WA,138.2,
Stuff,2/1/22,HRB ONLINE TAX PRODUCT 8004725625 MO,81.87,
Gas,2/1/22,CLINTON VALERO CLINTON CT,31.35,
Stuff,2/2/22,AMZN Mktp US*TA2KE0783 Amzn.com/bill WA,17.01,
Ent,2/2/22,S CENTRAL CT RWA 203-624-6129 CT,50,
Ent,2/3/22,APPLE.COM/BILL 866-712-7753 CA,17.01,
Food,2/3/22,STOP & SHOP 0624 MADISON CT,44.12,
Food,2/4/22,STOP & SHOP 0624 MADISON CT,4.71,
Clothing,2/5/22,KOHL'S #1507 OLD SAYBROOK CT,70.59,
Food,2/5/22,BIG Y #58 OLD SAYBROOK CT,163.37,
Ent,2/5/22,AMZN Digital*C86ND94H3 888-802-3080 WA,14.88,
Dining,2/6/22,DUNKIN #342434 Q35 HIGGANUM CT,7.12,
Stuff,2/7/22,USPS PO 0838420443 MADISON CT,15.4,
Ent,2/8/22,Amazon.com*4G5P43JP3 Amzn.com/bill WA,19,
Stuff,2/8/22,AMZN Mktp US*FD7237RK3 Amzn.com/bill WA,40.89,
Dining,2/9/22,JIA MEI ASIAN KITCHEN MADISON CT,14.49,
Food,2/10/22,STOP & SHOP 0624 MADISON CT,2.6,
Dining,2/11/22,SQ *ESSEX COFFEE AND T Essex CT,6.81,
Ent,2/12/22,NETFLIX.COM NETFLIX.COM CA,19.13,
Stuff,2/12/22,WAL-MART #3544 GUILFORD CT,181.75,
Ent,2/12/22,TST* Cilantro Specialt Guilford CT,10.15,
Food,2/12/22,STOP & SHOP 0624 MADISON CT,211.59,
Clothing,2/13/22,LUCKY BRAND #43372 CLINTON CT,21.26,
Clothing,2/13/22,NBFS CLINTON CLINTON CT,79.74,
Gas,2/13/22,CLINTON VALERO CLINTON CT,35.95,
DIY,2/13/22,THE HOME DEPOT 6223 EAST HAVEN CT,367.47,
Gas,2/16/22,CLINTON VALERO CLINTON CT,36.1,
Dining,2/16/22,JIA MEI ASIAN KITCHEN MADISON CT,14.76,
Stuff,2/16/22,WAL-MART #3544 GUILFORD CT,75.75,
Stuff,2/16/22,LEONARD INSURANCE GROU 6107899600 PA,30,
Stuff,2/16/22,WAL-MART #3544 GUILFORD CT,75.75,
Dining,2/16/22,JIA MEI ASIAN KITCHEN MADISON CT,14.76,
Gas,2/16/22,CLINTON VALERO CLINTON CT,36.1,
DIY,2/17/22,THE HOME DEPOT #6223 EAST HAVEN CT,68.93,
DIY,2/17/22,THE HOME DEPOT #6223 EAST HAVEN CT,68.93,
Gas,2/18/22,STOP & SHOP 0652 CLINTON CT,25.55,
Stuff,2/18/22,AMZN MKTP US*1B62F6WA1 AMZN.COM/BILL WA,14.72,
Stuff,2/18/22,AMZN Mktp US*4C76L8AL3 Amzn.com/bill WA,5.91,
Stuff,2/18/22,AMZN Mktp US*4C76L8AL3 Amzn.com/bill WA,5.91,
Stuff,2/18/22,AMZN MKTP US*1B62F6WA1 AMZN.COM/BILL WA,14.72,
Food,2/18/22,STOP & SHOP 0652 CLINTON CT,25.55,
Food,2/19/22,STOP & SHOP 0688 OLD SAYBROOK CT,105.27,
Stuff,2/19/22,WAL-MART #2898 OLD SAYBROOK CT,60.47,
Dining,2/19/22,MCDONALD'S F1346 OLD SAYBROOK CT,4.42,
Dining,2/19/22,MCDONALD'S F1346 OLD SAYBROOK CT,4.42,
Stuff,2/19/22,WAL-MART #2898 OLD SAYBROOK CT,60.47,
Food,2/19/22,STOP & SHOP 0688 OLD SAYBROOK CT,105.27,
Stuff,2/20/22,EDDIE BAUER 897 WESTBROOK CT,66.45,
Ent,2/20/22,SPOTIFY 8777781161 NY Digital Account Number XXXXXXXXXXXX6756,17.01,
DIY,2/20/22,KILLINGWORTH TRUE VALU KILLINGWORTH CT,6.69,
Gas,2/20/22,EXXONMOBIL 97395339 WESTBROOK CT,68.27,
Dining,2/20/22,TST* SIFT BAKERY MYSTIC CT,33.95,
Ent,2/20/22,MYSTIC MUSEUM OF ART MYSTIC CT,8,
Ent,2/20/22,SPOTIFY 8777781161 NY Digital Account Number XXXXXXXXXXXX6756,17.01,
Dining,2/20/22,MYSTIC MUSEUM OF ART MYSTIC CT,8,
Dining,2/20/22,TST* SIFT BAKERY MYSTIC CT,33.95,
Gas,2/20/22,EXXONMOBIL 97395339 WESTBROOK CT,68.27,
DIY,2/20/22,KILLINGWORTH TRUE VALU KILLINGWORTH CT,6.69,
Clothing,2/20/22,EDDIE BAUER 897 WESTBROOK CT,66.45,
Ent,2/21/22,APPLE.COM/BILL 1111111111 CA,3.02,
Ent,2/21/22,APPLE.COM/BILL 1111111111 CA,3.02,
Stuff,2/22/22,AMAZON.COM*1I9802FA0 A AMZN.COM/BILL WA,136.11,
Stuff,2/22/22,AMAZON.COM*1I9802FA0 A AMZN.COM/BILL WA,136.11,
Dining,2/23/22,JIA MEI ASIAN KITCHEN MADISON CT,14.49,
Stuff,2/23/22,REI.COM 800-426-4840 800-426-4840 WA,276.14,
Clothing,2/23/22,REI.COM 800-426-4840 800-426-4840 WA,276.14,
Dining,2/23/22,JIA MEI ASIAN KITCHEN MADISON CT,14.49,
Stuff,2/24/22,AMZN Mktp US*1I1QG4DW1 Amzn.com/bill WA,69.63,
Stuff,2/24/22,AMZN Mktp US*1I1QG4DW1 Amzn.com/bill WA,69.63,
Dining,2/26/22,MADISON COFFEE HOUSE MADISON CT,12.91,
Food,2/26/22,STOP & SHOP 0624 MADISON CT,192.79,
Food,2/26/22,SQ *SAVVY TEA GOURMET Madison CT,12,
Ent,2/26/22,A MEDIUM CORPORATION 4155085008 CA Digital Account Number XXXXXXXXXXXX8573,5,
Ent,2/26/22,A MEDIUM CORPORATION 4155085008 CA Digital Account Number XXXXXXXXXXXX8573,5,
Dining,2/26/22,SQ *SAVVY TEA GOURMET Madison CT,12,
Food,2/26/22,STOP & SHOP 0624 MADISON CT,192.79,
Dining,2/26/22,MADISON COFFEE HOUSE MADISON CT,12.91,
Dining,2/27/22,TST* Cilantro Specialt Guilford CT,6.98,
Dining,2/27/22,TST* Cilantro Specialt Guilford CT,6.98,
DIY,2/28/22,RING'S END #23-MADISON MADISON CT,28.29,
Ent,2/28/22,Prime Video*1I94Z9KP0 888-802-3080 WA,6.37,
Ent,2/28/22,Prime Video*1I94Z9KP0 888-802-3080 WA,6.37,
DIY,2/28/22,RING'S END #23-MADISON MADISON CT,28.29,
Gas,3/1/22,CLINTON VALERO CLINTON CT,35.98,
Dining,3/2/22,JIA MEI ASIAN KITCHEN MADISON CT,14.76,
DIY,3/2/22,HOMEDEPOT.COM 800-430-3376 GA,562.59,
